date,a,b,z
2026-03-23,4417.997,7440.745,0.5476050090781814
2026-03-24,4474.722,7597.373,0.4215199559488084
2026-03-25,4537.466,7767.666,0.2804622979859023
2026-03-26,4477.534,7642.13,0.4000203576931045
2026-03-27,4502.57,7737.614,0.28387042165805015
2026-03-30,4491.95,7753.724,0.21580588156341668
2026-03-31,4450.049,7617.326,0.498225596752546
2026-04-01,4526.067,7750.092,0.5466479977130367
2026-04-02,4478.914,7605.293,0.8717836298629877
2026-04-03,4440.789,7534.938,0.979855639775228
2026-04-07,4440.616,7571.111,0.9013349808829508
2026-04-08,4595.556,7945.153,0.47441765011169706
2026-04-09,4566.224,7898.633,0.5235958649436825
2026-04-10,4636.566,7969.365,0.848872768997809
2026-04-13,4646.155,7967.697,0.9981125543076648
2026-04-14,4701.284,8088.569,0.880092887285174
2026-04-15,4685.246,8044.077,0.9689738392409483
2026-04-16,4736.608,8180.082,0.7211516891104262
2026-04-17,4728.672,8214.194,0.4617487851501445
2026-04-20,4757.442,8290.022,0.328235838610223
2026-04-21,4767.997,8270.326,0.5309796087433406
2026-04-22,4799.627,8376.181,0.25566176023266585
2026-04-23,4786.327,8295.207,0.5580344002343369
2026-04-24,4769.369,8247.876,0.6375404262018842
2026-04-27,4770.947,8299.049,0.36262876170864994
2026-04-28,4758.208,8203.961,0.7313731679918141
2026-04-29,4810.347,8342.422,0.4407048248706409
2026-04-30,4807.307,8349.508,0.3458368837976693
2026-05-06,4877.093,8588.439,-0.3486051377497623
2026-05-07,4900.51,8696.799,-0.7426601471524602
2026-05-08,4871.912,8694.171,-1.0119069327088452
2026-05-11,4951.837,8839.741,-1.0009007259068183
2026-05-12,4948.047,8785.979,-0.7417330511978169
2026-05-13,4998.342,8918.239,-0.9640609164537197
2026-05-14,4914.597,8670.157,-0.4034876102421141
2026-05-15,4859.593,8536.345,-0.19338976762247975
2026-05-18,4833.524,8554.237,-0.5517720632231615
2026-05-19,4852.883,8627.946,-0.761690492364607
2026-05-20,4850.7,8656.307,-0.9282851551825175
2026-05-21,4783.098,8419.837,-0.28506182944669367
2026-05-22,4845.096,8576.94,-0.5630642269844566
2026-05-25,4921.597,8703.89,-0.5248771011256865
2026-05-26,4947.849,8658.619,-0.034962032812308
2026-05-27,4908.171,8530.98,0.2756221416379087
2026-05-28,4914.213,8563.222,0.10727996642253332
2026-05-29,4892.121,8359.56,1.1576304229934642
2026-06-01,4844.256,8274.212,1.1431260434493558
2026-06-02,4914.559,8321.435,1.5839743668582258
2026-06-03,4938.809,8362.156,1.533432806931821
2026-06-04,4904.745,8356.744,1.1467299959852575
2026-06-05,4816.92,8251.141,0.8134345162534853
2026-06-08,4713.636,7963.453,1.5915021329363992
2026-06-09,4801.811,8176.179,1.092723743888184
2026-06-10,4748.593,8063.864,1.222790868064005
2026-06-11,4722.412,8035.779,1.0612967745810329
2026-06-12,4777.321,8106.203,1.1943429028995078
2026-06-15,4891.713,8406.748,0.4061036450411176
2026-06-16,4884.232,8507.979,-0.41836545178197376
2026-06-17,4931.386,8627.086,-0.6615734496279475
2026-06-18,4941.599,8673.09,-0.8311126357390474
2026-06-22,5059.658,8868.782,-0.7256960669351038
2026-06-23,4919.386,8688.593,-1.1628223174976655
2026-06-24,4943.02,8842.938,-1.8731118170070915
2026-06-25,5020.104,8938.012,-1.5197285773511076
2026-06-26,4868.221,8703.565,-1.6929216439587644
2026-06-29,4926.921,8821.095,-1.699673407160652
2026-06-30,4979.433,9031.379,-2.297354608824549
2026-07-01,4958.977,9028.933,-2.3505180252759184
2026-07-02,4812.296,8694.176,-1.8563057477395248
2026-07-03,4842.174,8745.261,-1.767260641701391
2026-07-06,4841.998,8651.134,-1.1685068494864281
2026-07-07,4792.262,8508.788,-0.817316137635882
2026-07-08,4755.534,8390.02,-0.4711211754147416
2026-07-09,4876.313,8652.787,-0.7433329813640485
2026-07-10,4780.787,8503.971,-0.8407039378497015
2026-07-13,4695.383,8138.145,0.5188017412732197
2026-07-14,4796.502,8275.938,0.7623378025898565
2026-07-15,4786.783,8147.579,1.4436930113560604
2026-07-16,4698.434,7955.664,1.6531269671411792
2026-07-17,4529.095,7513.763,2.5004727415918166
2026-07-20,4598.321,7411.313,3.4207204744638693
2026-07-21,4739.229,7800.608,2.3582535967210525
2026-07-22,4717.244,7751.662,2.280773473282776
2026-07-23,4728.002,7734.31,2.308251533639962
2026-07-24,4649.192,7532.701,2.477623919105674
2026-07-27,4702.427,7720.598,1.9221408305574301
2026-07-28,4569.524,7443.433,2.073068322511964
2026-07-29,4600.262,7524.507,1.8486913038516979
2026-07-30,4549.72,7309.575,2.265540441133119
2026-07-31,4588.197,7493.985,1.6892514570080728
2026-08-03,4543.178,7414.522,1.6420752964216825
2026-08-04,4600.93,7607.487,1.2176673345516975
2026-08-05,4658.155,7809.207,0.7891194895301729
2026-08-06,4651.31,7829.361,0.6466273087589324
2026-08-07,4694.437,7980.125,0.3417436008732157
2026-08-10,4702.025,8030.948,0.18959725825632123
2026-08-11,4663.789,7967.539,0.16627157653535818
2026-08-12,4690.917,8045.31,0.032823887860097614
