date,a,b,z
2026-03-26,3889.084,13606.443,-1.4745360789222692
2026-03-27,3913.724,13760.369,-1.9677308112910201
2026-03-30,3923.287,13726.19,-1.3477587575750571
2026-03-31,3891.861,13478.056,-0.14531073994487906
2026-04-01,3948.552,13706.52,-0.40122125154425725
2026-04-02,3919.285,13486.937,0.6554795707222063
2026-04-03,3880.097,13352.904,0.6575987482232812
2026-04-07,3890.165,13400.412,0.5787571573591526
2026-04-08,3994.998,14042.496,-1.842456030846665
2026-04-09,3966.171,13996.266,-2.189051956556374
2026-04-10,3986.225,14309.472,-3.6389917517853316
2026-04-13,3988.558,14407.864,-3.7250186798956646
2026-04-14,4026.626,14639.952,-3.731316956249865
2026-04-15,4027.21,14498.455,-2.693002397322546
2026-04-16,4055.547,14796.335,-3.3066231206622696
2026-04-17,4051.425,14885.416,-3.350893460379112
2026-04-20,4082.127,14966.747,-2.9225366005882183
2026-04-21,4085.077,14982.14,-2.7021948666744438
2026-04-22,4106.258,15177.286,-2.8455165303824472
2026-04-23,4093.25,15043.449,-2.3901976012478565
2026-04-24,4079.9,14940.301,-2.092903934046166
2026-04-27,4086.344,14995.748,-2.0699880823812498
2026-04-28,4078.637,14830.455,-1.5957777326235851
2026-04-29,4107.514,15120.923,-2.0174440734524044
2026-04-30,4112.159,15107.553,-1.8403278943515269
2026-05-06,4160.174,15459.616,-2.171876598861188
2026-05-07,4180.092,15641.886,-2.2935096669840958
2026-05-08,4179.952,15563.797,-1.9964491325521785
2026-05-11,4225.021,15899.302,-2.2415108394533645
2026-05-12,4214.489,15824.921,-2.0466405569229558
2026-05-13,4242.572,16089.749,-2.241409544751125
2026-05-14,4177.918,15745.736,-1.9397287152357252
2026-05-15,4135.389,15561.372,-1.8079482408840508
2026-05-18,4131.528,15530.229,-1.6987390520920715
2026-05-19,4169.538,15569.907,-1.4398316658816077
2026-05-20,4162.185,15569.979,-1.4405996355599582
2026-05-21,4077.277,15247.271,-1.3787494219422645
2026-05-22,4112.9,15597.297,-1.7232693546357896
2026-05-25,4152.569,15856.61,-1.8373942825960108
2026-05-26,4145.373,15876.163,-1.8324663707137312
2026-05-27,4093.727,15736.469,-1.844539108074904
2026-05-28,4098.636,15861.891,-1.9296444585282508
2026-05-29,4068.569,15575.134,-1.5744344777915535
2026-06-01,4057.74,15340.356,-1.2065845605470364
2026-06-02,4075.102,15591.128,-1.4773043894114104
2026-06-03,4083.974,15704.711,-1.5578060450502726
2026-06-04,4057.781,15661.574,-1.5976694579680948
2026-06-05,4027.736,15314.7,-1.1643923438024075
2026-06-08,3959.338,14821.187,-0.7191513254405967
2026-06-09,4010.031,15268.715,-1.140009950548854
2026-06-10,3993.226,14954.101,-0.6656624432559447
2026-06-11,3987.015,14851.976,-0.4972799751210856
2026-06-12,4031.513,14963.407,-0.37485821108962203
2026-06-15,4096.472,15531.109,-0.9385439256700882
2026-06-16,4091.892,15675.246,-1.193050664143577
2026-06-17,4108.076,15880.951,-1.408122686171426
2026-06-18,4090.481,16030.702,-1.7293506379675219
2026-06-22,4163.097,16372.499,-1.7586807009257936
2026-06-23,4106.252,15854.196,-1.206388059346682
2026-06-24,4110.813,16051.319,-1.4757203976872144
2026-06-25,4120.281,16344.083,-1.8513551640393553
2026-06-26,4027.265,15782.223,-1.4614966512468957
2026-06-29,4073.902,15812.871,-1.1596177825425233
2026-06-30,4094.397,16205.557,-1.6803498714247402
2026-07-01,4112.445,16119.168,-1.3711200731159754
2026-07-02,4028.904,15498.811,-0.79759167416911
2026-07-03,4043.643,15597.512,-0.8740629846137404
2026-07-06,4041.238,15416.804,-0.4835370645524059
2026-07-07,3990.235,15225.113,-0.4653298618771369
2026-07-08,3970.88,14939.727,0.1165999504237033
2026-07-09,4036.588,15398.729,-0.4144606170453191
2026-07-10,3996.162,15046.67,0.16392123397341787
2026-07-13,3913.794,14522.854,0.8216020376039135
2026-07-14,3967.126,14924.868,0.2610551467635112
2026-07-15,3955.578,14779.396,0.605712151485443
2026-07-16,3882.413,14488.654,0.6823836865955349
2026-07-17,3764.155,13706.884,1.8184314113468398
2026-07-20,3796.281,13610.231,2.442476527736175
2026-07-21,3864.367,14264.291,1.1230208368733923
2026-07-22,3867.034,14061.436,1.770090320399097
2026-07-23,3876.777,14123.307,1.6725346872127127
2026-07-24,3814.198,13774.676,2.0063887917523764
2026-07-27,3858.245,14148.73,1.3609453567300953
2026-07-28,3813.315,13509.679,2.6945371874182613
2026-07-29,3828.469,13658.443,2.3009578488956923
2026-07-30,3804.693,13285.801,2.895083893221422
2026-07-31,3832.262,13578.93,2.219491528625016
2026-08-03,3809.663,13448.289,2.224248986849847
2026-08-04,3822.285,13885.711,1.209398305746593
2026-08-05,3878.43,14144.204,1.0527709765609943
2026-08-06,3900.352,14110.121,1.2774656712025074
2026-08-07,3940.037,14311.008,1.1130889288258807
2026-08-10,3966.594,14316.961,1.2773355556165147
2026-08-11,3934.093,14259.44,1.1109810825013033
2026-08-12,3946.675,14414.427,0.8521515200266474
